"x","y","se","age","filename","Pop","species","study"
1974,94.48869,2.985611,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1975,91.89587,1.767419,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1976,95.71426,2.398003,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1977,92.9553,1.863247,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1978,94.18942,1.504673,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1979,94.39666,1.447104,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1980,95.25866,1.795193,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1981,92.92851,1.447066,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1982,92.02072,2.397055,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1983,98.59916,1.632125,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1984,95.25603,2.826173,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1985,93.80518,1.308307,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1986,92.78358,3.153755,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1987,92.45647,1.366686,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1988,98.50671,1.465448,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1989,92.96883,1.66935,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1990,90.55747,1.990982,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1991,95.12095,1.091988,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1992,90.18385,1.688651,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1993,90.08671,2.077694,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1994,91.51191,1.801828,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1995,94.51003,2.408229,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1996,95.03606,1.133866,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1997,89.8641,1.728955,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1998,80.90398,12.412811,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1999,95.46754,2.103165,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
2000,92.62454,3.602986,"11_13","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1972,86.75649,2.3438353,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1973,88.82405,0.933631,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1974,90.27435,0.8369726,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1975,87.00294,1.5171253,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1976,87.66032,1.0210849,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1977,88.35962,0.9460389,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1978,90.0701,0.9904415,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1979,89.04038,0.9589729,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1980,89.90113,1.0536776,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1981,89.32308,0.8231166,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1982,89.23845,1.1729553,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1983,91.03478,0.7565589,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1984,89.2303,0.8024514,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1985,90.55918,0.7194644,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1986,88.72376,0.5527703,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1987,89.24689,0.8238127,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1988,90.61367,0.9184895,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1989,91.97177,0.8864315,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1990,91.02358,1.0825827,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1991,89.13849,0.9422248,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1992,88.18804,0.9508055,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1993,87.47776,1.160862,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1994,87.51017,1.1153954,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1995,87.13622,1.7083061,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1996,86.2794,2.0535021,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
1997,87.92858,1.4585862,"5_7","Douhard2016_Peace","Peace","Stones sheep","Douhard(2016)"
